Title,Slug,Difficulty,Tags,Paid Only
Make a Square with the Same Color,make-a-square-with-the-same-color,Easy,"Array, Matrix, Enumeration",FALSE
Right Triangles,right-triangles,Medium,"Array, Hash Table, Math, Combinatorics, Counting",FALSE
Find All Possible Stable Binary Arrays I,find-all-possible-stable-binary-arrays-i,Medium,"Dynamic Programming, Prefix Sum",FALSE
Find All Possible Stable Binary Arrays II,find-all-possible-stable-binary-arrays-ii,Hard,"Dynamic Programming, Prefix Sum",FALSE
Find the Integer Added to Array I,find-the-integer-added-to-array-i,Easy,Array,FALSE
Find the Integer Added to Array II,find-the-integer-added-to-array-ii,Medium,"Array, Two Pointers, Sorting, Enumeration",FALSE
Minimum Array End,minimum-array-end,Medium,Bit Manipulation,FALSE
Find the Median of the Uniqueness Array,find-the-median-of-the-uniqueness-array,Hard,"Array, Hash Table, Binary Search, Sliding Window",FALSE
Equalize Strings by Adding or Removing Characters at Ends,equalize-strings-by-adding-or-removing-characters-at-ends,Medium,"String, Binary Search, Dynamic Programming, Sliding Window, Hash Function",TRUE
Valid Word,valid-word,Easy,String,FALSE
Minimum Number of Operations to Make Word K-Periodic,minimum-number-of-operations-to-make-word-k-periodic,Medium,"Hash Table, String, Counting",FALSE
Minimum Length of Anagram Concatenation,minimum-length-of-anagram-concatenation,Medium,"Hash Table, String, Counting",FALSE
Minimum Cost to Equalize Array,minimum-cost-to-equalize-array,Hard,"Array, Greedy, Enumeration",FALSE
Maximum Hamming Distances,maximum-hamming-distances,Hard,"Array, Bit Manipulation, Breadth-First Search",TRUE
Check if Grid Satisfies Conditions,check-if-grid-satisfies-conditions,Easy,"Array, Matrix",FALSE
Maximum Points Inside the Square,maximum-points-inside-the-square,Medium,"Array, Hash Table, String, Binary Search, Sorting",FALSE
Minimum Substring Partition of Equal Character Frequency,minimum-substring-partition-of-equal-character-frequency,Medium,"Hash Table, String, Dynamic Programming, Counting",FALSE
Find Products of Elements of Big Array,find-products-of-elements-of-big-array,Hard,"Array, Binary Search, Bit Manipulation",FALSE
Permutation Difference between Two Strings,permutation-difference-between-two-strings,Easy,"Hash Table, String",FALSE
Taking Maximum Energy From the Mystic Dungeon,taking-maximum-energy-from-the-mystic-dungeon,Medium,"Array, Prefix Sum",FALSE
Maximum Difference Score in a Grid,maximum-difference-score-in-a-grid,Medium,"Array, Dynamic Programming, Matrix",FALSE
Find the Minimum Cost Array Permutation,find-the-minimum-cost-array-permutation,Hard,"Array, Dynamic Programming, Bit Manipulation, Bitmask",FALSE
Special Array I,special-array-i,Easy,Array,FALSE
Special Array II,special-array-ii,Medium,"Array, Binary Search, Prefix Sum",FALSE
Sum of Digit Differences of All Pairs,sum-of-digit-differences-of-all-pairs,Medium,"Array, Hash Table, Math, Counting",FALSE
Find Number of Ways to Reach the K-th Stair,find-number-of-ways-to-reach-the-k-th-stair,Hard,"Math, Dynamic Programming, Bit Manipulation, Memoization, Combinatorics",FALSE
Maximum Number of Upgradable Servers,maximum-number-of-upgradable-servers,Medium,"Array, Math, Binary Search",TRUE
Find the Level of Tree with Minimum Sum,find-the-level-of-tree-with-minimum-sum,Medium,"Tree, Depth-First Search, Breadth-First Search, Binary Tree",TRUE
Find the XOR of Numbers Which Appear Twice,find-the-xor-of-numbers-which-appear-twice,Easy,"Array, Hash Table, Bit Manipulation",FALSE
Find Occurrences of an Element in an Array,find-occurrences-of-an-element-in-an-array,Medium,"Array, Hash Table",FALSE
Find the Number of Distinct Colors Among the Balls,find-the-number-of-distinct-colors-among-the-balls,Medium,"Array, Hash Table, Simulation",FALSE
Block Placement Queries,block-placement-queries,Hard,"Array, Binary Search, Binary Indexed Tree, Segment Tree",FALSE
Find the Number of Good Pairs I,find-the-number-of-good-pairs-i,Easy,"Array, Hash Table",FALSE
String Compression III,string-compression-iii,Medium,String,FALSE
Find the Number of Good Pairs II,find-the-number-of-good-pairs-ii,Medium,"Array, Hash Table",FALSE
Maximum Sum of Subsequence With Non-adjacent Elements,maximum-sum-of-subsequence-with-non-adjacent-elements,Hard,"Array, Divide and Conquer, Dynamic Programming, Segment Tree",FALSE
Better Compression of String,better-compression-of-string,Medium,"Hash Table, String, Sorting, Counting",TRUE
Minimum Number of Chairs in a Waiting Room,minimum-number-of-chairs-in-a-waiting-room,Easy,"String, Simulation",FALSE
Count Days Without Meetings,count-days-without-meetings,Medium,"Array, Sorting",FALSE
Lexicographically Minimum String After Removing Stars,lexicographically-minimum-string-after-removing-stars,Medium,"Hash Table, String, Stack, Greedy, Heap (Priority Queue)",FALSE
Find Subarray With Bitwise OR Closest to K,find-subarray-with-bitwise-or-closest-to-k,Hard,"Array, Binary Search, Bit Manipulation, Segment Tree",FALSE
Bitwise OR of Adjacent Elements,bitwise-or-of-adjacent-elements,Easy,"Array, Bit Manipulation",TRUE
Clear Digits,clear-digits,Easy,"String, Stack, Simulation",FALSE
Find The First Player to win K Games in a Row,find-the-first-player-to-win-k-games-in-a-row,Medium,"Array, Simulation",FALSE
Find the Maximum Length of a Good Subsequence I,find-the-maximum-length-of-a-good-subsequence-i,Medium,"Array, Hash Table, Dynamic Programming",FALSE
Find the Maximum Length of a Good Subsequence II,find-the-maximum-length-of-a-good-subsequence-ii,Hard,"Array, Hash Table, Dynamic Programming",FALSE
Find the Child Who Has the Ball After K Seconds,find-the-child-who-has-the-ball-after-k-seconds,Easy,"Math, Simulation",FALSE
Find the N-th Value After K Seconds,find-the-n-th-value-after-k-seconds,Medium,"Array, Math, Simulation, Combinatorics, Prefix Sum",FALSE
Maximum Total Reward Using Operations I,maximum-total-reward-using-operations-i,Medium,"Array, Dynamic Programming",FALSE
Maximum Total Reward Using Operations II,maximum-total-reward-using-operations-ii,Hard,"Array, Dynamic Programming, Bit Manipulation",FALSE
The Number of Ways to Make the Sum,the-number-of-ways-to-make-the-sum,Medium,"Array, Dynamic Programming",TRUE
Count Pairs That Form a Complete Day I,count-pairs-that-form-a-complete-day-i,Easy,"Array, Hash Table, Counting",FALSE
Count Pairs That Form a Complete Day II,count-pairs-that-form-a-complete-day-ii,Medium,"Array, Hash Table, Counting",FALSE
Maximum Total Damage With Spell Casting,maximum-total-damage-with-spell-casting,Medium,"Array, Hash Table, Two Pointers, Binary Search, Dynamic Programming, Sorting, Counting",FALSE
Peaks in Array,peaks-in-array,Hard,"Array, Binary Indexed Tree, Segment Tree",FALSE
Minimum Moves to Get a Peaceful Board,minimum-moves-to-get-a-peaceful-board,Medium,"Array, Greedy, Sorting, Counting Sort",TRUE
Find Minimum Operations to Make All Elements Divisible by Three,find-minimum-operations-to-make-all-elements-divisible-by-three,Easy,"Array, Math",FALSE
Minimum Operations to Make Binary Array Elements Equal to One I,minimum-operations-to-make-binary-array-elements-equal-to-one-i,Medium,"Array, Bit Manipulation, Queue, Sliding Window, Prefix Sum",FALSE
Minimum Operations to Make Binary Array Elements Equal to One II,minimum-operations-to-make-binary-array-elements-equal-to-one-ii,Medium,"Array, Dynamic Programming, Greedy",FALSE
Count the Number of Inversions,count-the-number-of-inversions,Hard,"Array, Dynamic Programming",FALSE
Minimum Average of Smallest and Largest Elements,minimum-average-of-smallest-and-largest-elements,Easy,"Array, Two Pointers, Sorting",FALSE
Find the Minimum Area to Cover All Ones I,find-the-minimum-area-to-cover-all-ones-i,Medium,"Array, Matrix",FALSE
Maximize Total Cost of Alternating Subarrays,maximize-total-cost-of-alternating-subarrays,Medium,"Array, Dynamic Programming",FALSE
Find the Minimum Area to Cover All Ones II,find-the-minimum-area-to-cover-all-ones-ii,Hard,"Array, Matrix, Enumeration",FALSE
Count Triplets with Even XOR Set Bits I,count-triplets-with-even-xor-set-bits-i,Easy,"Array, Bit Manipulation",TRUE
Maximum Height of a Triangle,maximum-height-of-a-triangle,Easy,"Array, Enumeration",FALSE
Find the Maximum Length of Valid Subsequence I,find-the-maximum-length-of-valid-subsequence-i,Medium,"Array, Dynamic Programming",FALSE
Find the Maximum Length of Valid Subsequence II,find-the-maximum-length-of-valid-subsequence-ii,Medium,"Array, Dynamic Programming",FALSE
Find Minimum Diameter After Merging Two Trees,find-minimum-diameter-after-merging-two-trees,Hard,"Tree, Depth-First Search, Breadth-First Search, Graph",FALSE
Maximum Array Hopping Score I,maximum-array-hopping-score-i,Medium,"Array, Dynamic Programming, Stack, Greedy, Monotonic Stack",TRUE
Alternating Groups I,alternating-groups-i,Easy,"Array, Sliding Window",FALSE
Maximum Points After Enemy Battles,maximum-points-after-enemy-battles,Medium,"Array, Greedy",FALSE
Alternating Groups II,alternating-groups-ii,Medium,"Array, Sliding Window",FALSE
Number of Subarrays With AND Value of K,number-of-subarrays-with-and-value-of-k,Hard,"Array, Binary Search, Bit Manipulation, Segment Tree",FALSE
Find the Encrypted String,find-the-encrypted-string,Easy,String,FALSE
Generate Binary Strings Without Adjacent Zeros,generate-binary-strings-without-adjacent-zeros,Medium,"String, Backtracking, Bit Manipulation",FALSE
Count Submatrices With Equal Frequency of X and Y,count-submatrices-with-equal-frequency-of-x-and-y,Medium,"Array, Matrix, Prefix Sum",FALSE
Construct String with Minimum Cost,construct-string-with-minimum-cost,Hard,"Array, String, Dynamic Programming, Suffix Array",FALSE
Count Triplets with Even XOR Set Bits II,count-triplets-with-even-xor-set-bits-ii,Medium,"Array, Bit Manipulation",TRUE
Lexicographically Smallest String After a Swap,lexicographically-smallest-string-after-a-swap,Easy,"String, Greedy",FALSE
Delete Nodes From Linked List Present in Array,delete-nodes-from-linked-list-present-in-array,Medium,"Array, Hash Table, Linked List",FALSE
Minimum Cost for Cutting Cake I,minimum-cost-for-cutting-cake-i,Medium,"Array, Dynamic Programming, Greedy, Sorting",FALSE
Minimum Cost for Cutting Cake II,minimum-cost-for-cutting-cake-ii,Hard,"Array, Greedy, Sorting",FALSE
Maximum Array Hopping Score II,maximum-array-hopping-score-ii,Medium,"Array, Stack, Greedy, Monotonic Stack",TRUE
Find the Winning Player in Coin Game,find-the-winning-player-in-coin-game,Easy,"Math, Simulation, Game Theory",FALSE
Minimum Length of String After Operations,minimum-length-of-string-after-operations,Medium,"Hash Table, String, Counting",FALSE
Minimum Array Changes to Make Differences Equal,minimum-array-changes-to-make-differences-equal,Medium,"Array, Hash Table, Prefix Sum",FALSE
Maximum Score From Grid Operations,maximum-score-from-grid-operations,Hard,"Array, Dynamic Programming, Matrix, Prefix Sum",FALSE
Number of Bit Changes to Make Two Integers Equal,number-of-bit-changes-to-make-two-integers-equal,Easy,Bit Manipulation,FALSE
Vowels Game in a String,vowels-game-in-a-string,Medium,"Math, String, Brainteaser, Game Theory",FALSE
Maximum Number of Operations to Move Ones to the End,maximum-number-of-operations-to-move-ones-to-the-end,Medium,"String, Greedy, Counting",FALSE
Minimum Operations to Make Array Equal to Target,minimum-operations-to-make-array-equal-to-target,Hard,"Array, Dynamic Programming, Stack, Greedy, Monotonic Stack",FALSE
Minimum Number of Increasing Subsequence to Be Removed,minimum-number-of-increasing-subsequence-to-be-removed,Hard,"Array, Binary Search",TRUE
Find if Digit Game Can Be Won,find-if-digit-game-can-be-won,Easy,"Array, Math",FALSE
Find the Count of Numbers Which Are Not Special,find-the-count-of-numbers-which-are-not-special,Medium,"Array, Math, Number Theory",FALSE
Count the Number of Substrings With Dominant Ones,count-the-number-of-substrings-with-dominant-ones,Medium,"String, Sliding Window, Enumeration",FALSE
Check if the Rectangle Corner Is Reachable,check-if-the-rectangle-corner-is-reachable,Hard,"Array, Math, Depth-First Search, Breadth-First Search, Union Find, Geometry",FALSE
Alt and Tab Simulation,alt-and-tab-simulation,Medium,"Array, Hash Table, Simulation",TRUE
Find the Number of Winning Players,find-the-number-of-winning-players,Easy,"Array, Hash Table, Counting",FALSE
Minimum Number of Flips to Make Binary Grid Palindromic I,minimum-number-of-flips-to-make-binary-grid-palindromic-i,Medium,"Array, Two Pointers, Matrix",FALSE
Minimum Number of Flips to Make Binary Grid Palindromic II,minimum-number-of-flips-to-make-binary-grid-palindromic-ii,Medium,"Array, Two Pointers, Matrix",FALSE
Time Taken to Mark All Nodes,time-taken-to-mark-all-nodes,Hard,"Dynamic Programming, Tree, Depth-First Search, Graph",FALSE
Design Neighbor Sum Service,design-neighbor-sum-service,Easy,"Array, Hash Table, Design, Matrix, Simulation",FALSE
Shortest Distance After Road Addition Queries I,shortest-distance-after-road-addition-queries-i,Medium,"Array, Breadth-First Search, Graph",FALSE
Shortest Distance After Road Addition Queries II,shortest-distance-after-road-addition-queries-ii,Hard,"Array, Greedy, Graph, Ordered Set",FALSE
Alternating Groups III,alternating-groups-iii,Hard,"Array, Binary Indexed Tree",FALSE
Number of Subsequences with Odd Sum,number-of-subsequences-with-odd-sum,Medium,"Array, Math, Dynamic Programming, Combinatorics",TRUE
Snake in Matrix,snake-in-matrix,Easy,"Array, String, Simulation",FALSE
Count the Number of Good Nodes,count-the-number-of-good-nodes,Medium,"Tree, Depth-First Search",FALSE
Find the Count of Monotonic Pairs I,find-the-count-of-monotonic-pairs-i,Hard,"Array, Math, Dynamic Programming, Combinatorics, Prefix Sum",FALSE
Find the Count of Monotonic Pairs II,find-the-count-of-monotonic-pairs-ii,Hard,"Array, Math, Dynamic Programming, Combinatorics, Prefix Sum",FALSE
Find the Power of K-Size Subarrays I,find-the-power-of-k-size-subarrays-i,Medium,"Array, Sliding Window",FALSE
Find the Power of K-Size Subarrays II,find-the-power-of-k-size-subarrays-ii,Medium,"Array, Sliding Window",FALSE
Maximum Value Sum by Placing Three Rooks I,maximum-value-sum-by-placing-three-rooks-i,Hard,"Array, Dynamic Programming, Matrix, Enumeration",FALSE
Maximum Value Sum by Placing Three Rooks II,maximum-value-sum-by-placing-three-rooks-ii,Hard,"Array, Dynamic Programming, Matrix, Enumeration",FALSE
Count Substrings That Satisfy K-Constraint I,count-substrings-that-satisfy-k-constraint-i,Easy,"String, Sliding Window",FALSE
Maximum Energy Boost From Two Drinks,maximum-energy-boost-from-two-drinks,Medium,"Array, Dynamic Programming",FALSE
Find the Largest Palindrome Divisible by K,find-the-largest-palindrome-divisible-by-k,Hard,"Math, String, Dynamic Programming, Greedy, Number Theory",FALSE
Count Substrings That Satisfy K-Constraint II,count-substrings-that-satisfy-k-constraint-ii,Hard,"Array, String, Binary Search, Sliding Window, Prefix Sum",FALSE
Convert Doubly Linked List to Array I,convert-doubly-linked-list-to-array-i,Easy,"Array, Linked List, Doubly-Linked List",TRUE
Final Array State After K Multiplication Operations I,final-array-state-after-k-multiplication-operations-i,Easy,"Array, Math, Heap (Priority Queue), Simulation",FALSE
Count Almost Equal Pairs I,count-almost-equal-pairs-i,Medium,"Array, Hash Table, Sorting, Counting, Enumeration",FALSE
Final Array State After K Multiplication Operations II,final-array-state-after-k-multiplication-operations-ii,Hard,"Array, Heap (Priority Queue), Simulation",FALSE
Count Almost Equal Pairs II,count-almost-equal-pairs-ii,Hard,"Array, Hash Table, Sorting, Counting, Enumeration",FALSE
Constructing Two Increasing Arrays,constructing-two-increasing-arrays,Hard,"Array, Dynamic Programming",TRUE
Find the Key of the Numbers,find-the-key-of-the-numbers,Easy,Math,FALSE
Hash Divided String,hash-divided-string,Medium,"String, Simulation",FALSE
Find the Count of Good Integers,find-the-count-of-good-integers,Hard,"Hash Table, Math, Combinatorics, Enumeration",FALSE
Minimum Amount of Damage Dealt to Bob,minimum-amount-of-damage-dealt-to-bob,Hard,"Array, Greedy, Sorting",FALSE
Check if Two Chessboard Squares Have the Same Color,check-if-two-chessboard-squares-have-the-same-color,Easy,"Math, String",FALSE
K-th Nearest Obstacle Queries,k-th-nearest-obstacle-queries,Medium,"Array, Heap (Priority Queue)",FALSE
Select Cells in Grid With Maximum Score,select-cells-in-grid-with-maximum-score,Hard,"Array, Dynamic Programming, Bit Manipulation, Matrix, Bitmask",FALSE
Maximum XOR Score Subarray Queries,maximum-xor-score-subarray-queries,Hard,"Array, Dynamic Programming",FALSE
Maximum Total Area Occupied by Pistons,maximum-total-area-occupied-by-pistons,Hard,"Array, Hash Table, String, Simulation, Counting, Prefix Sum",TRUE
Convert Date to Binary,convert-date-to-binary,Easy,"Math, String",FALSE
Maximize Score of Numbers in Ranges,maximize-score-of-numbers-in-ranges,Medium,"Array, Binary Search, Greedy, Sorting",FALSE
Reach End of Array With Max Score,reach-end-of-array-with-max-score,Medium,"Array, Greedy",FALSE
Maximum Number of Moves to Kill All Pawns,maximum-number-of-moves-to-kill-all-pawns,Hard,"Array, Math, Bit Manipulation, Breadth-First Search, Game Theory, Bitmask",FALSE
Sum of Consecutive Subarrays,sum-of-consecutive-subarrays,Medium,"Array, Two Pointers, Dynamic Programming",TRUE
Find Indices of Stable Mountains,find-indices-of-stable-mountains,Easy,Array,FALSE
Find a Safe Walk Through a Grid,find-a-safe-walk-through-a-grid,Medium,"Array, Breadth-First Search, Graph, Heap (Priority Queue), Matrix, Shortest Path",FALSE
Find the Maximum Sequence Value of Array,find-the-maximum-sequence-value-of-array,Hard,"Array, Dynamic Programming, Bit Manipulation",FALSE
Length of the Longest Increasing Path,length-of-the-longest-increasing-path,Hard,"Array, Binary Search, Sorting",FALSE
The Two Sneaky Numbers of Digitville,the-two-sneaky-numbers-of-digitville,Easy,"Array, Hash Table, Math",FALSE
Maximum Multiplication Score,maximum-multiplication-score,Medium,"Array, Dynamic Programming",FALSE
Minimum Number of Valid Strings to Form Target I,minimum-number-of-valid-strings-to-form-target-i,Medium,"Array, String, Binary Search, Dynamic Programming, Trie, Segment Tree, Rolling Hash, String Matching, Hash Function",FALSE
Minimum Number of Valid Strings to Form Target II,minimum-number-of-valid-strings-to-form-target-ii,Hard,"Array, String, Binary Search, Dynamic Programming, Segment Tree, Rolling Hash, String Matching, Hash Function",FALSE
Convert Doubly Linked List to Array II,convert-doubly-linked-list-to-array-ii,Medium,"Array, Linked List, Doubly-Linked List",TRUE
Report Spam Message,report-spam-message,Medium,"Array, Hash Table, String",FALSE
Minimum Number of Seconds to Make Mountain Height Zero,minimum-number-of-seconds-to-make-mountain-height-zero,Medium,"Array, Math, Binary Search, Greedy, Heap (Priority Queue)",FALSE
Count Substrings That Can Be Rearranged to Contain a String I,count-substrings-that-can-be-rearranged-to-contain-a-string-i,Medium,"Hash Table, String, Sliding Window",FALSE
Count Substrings That Can Be Rearranged to Contain a String II,count-substrings-that-can-be-rearranged-to-contain-a-string-ii,Hard,"Hash Table, String, Sliding Window",FALSE
Sum of Consecutive Subsequences,sum-of-consecutive-subsequences,Hard,"Array, Hash Table, Dynamic Programming",TRUE
Minimum Element After Replacement With Digit Sum,minimum-element-after-replacement-with-digit-sum,Easy,"Array, Math",FALSE
Maximize the Total Height of Unique Towers,maximize-the-total-height-of-unique-towers,Medium,"Array, Greedy, Sorting",FALSE
Find the Lexicographically Smallest Valid Sequence,find-the-lexicographically-smallest-valid-sequence,Medium,"Two Pointers, String, Dynamic Programming, Greedy",FALSE
Find the Occurrence of First Almost Equal Substring,find-the-occurrence-of-first-almost-equal-substring,Hard,"String, String Matching",FALSE
Find the K-th Character in String Game I,find-the-k-th-character-in-string-game-i,Easy,"Math, Bit Manipulation, Recursion, Simulation",FALSE
Count of Substrings Containing Every Vowel and K Consonants I,count-of-substrings-containing-every-vowel-and-k-consonants-i,Medium,"Hash Table, String, Sliding Window",FALSE
Count of Substrings Containing Every Vowel and K Consonants II,count-of-substrings-containing-every-vowel-and-k-consonants-ii,Medium,"Hash Table, String, Sliding Window",FALSE
Find the K-th Character in String Game II,find-the-k-th-character-in-string-game-ii,Hard,"Math, Bit Manipulation, Recursion",FALSE
Maximum Possible Number by Binary Concatenation,maximum-possible-number-by-binary-concatenation,Medium,"Array, Bit Manipulation, Enumeration",FALSE
Remove Methods From Project,remove-methods-from-project,Medium,"Depth-First Search, Breadth-First Search, Graph",FALSE
Construct 2D Grid Matching Graph Layout,construct-2d-grid-matching-graph-layout,Hard,"Array, Hash Table, Graph, Matrix",FALSE
Sorted GCD Pair Queries,sorted-gcd-pair-queries,Hard,"Array, Hash Table, Math, Binary Search, Combinatorics, Counting, Number Theory, Prefix Sum",FALSE
Find the Last Marked Nodes in Tree,find-the-last-marked-nodes-in-tree,Hard,"Tree, Depth-First Search",TRUE
Construct the Minimum Bitwise Array I,construct-the-minimum-bitwise-array-i,Easy,"Array, Bit Manipulation",FALSE
Construct the Minimum Bitwise Array II,construct-the-minimum-bitwise-array-ii,Medium,"Array, Bit Manipulation",FALSE
Find Maximum Removals From Source String,find-maximum-removals-from-source-string,Medium,"Array, Hash Table, Two Pointers, String, Dynamic Programming",FALSE
Find the Number of Possible Ways for an Event,find-the-number-of-possible-ways-for-an-event,Hard,"Math, Dynamic Programming, Combinatorics",FALSE
Find X-Sum of All K-Long Subarrays I,find-x-sum-of-all-k-long-subarrays-i,Easy,"Array, Hash Table, Sliding Window, Heap (Priority Queue)",FALSE
K-th Largest Perfect Subtree Size in Binary Tree,k-th-largest-perfect-subtree-size-in-binary-tree,Medium,"Tree, Depth-First Search, Sorting, Binary Tree",FALSE
Count The Number of Winning Sequences,count-the-number-of-winning-sequences,Hard,"String, Dynamic Programming",FALSE
Find X-Sum of All K-Long Subarrays II,find-x-sum-of-all-k-long-subarrays-ii,Hard,"Array, Hash Table, Sliding Window, Heap (Priority Queue)",FALSE
Minimize Connected Groups by Inserting Interval,minimize-connected-groups-by-inserting-interval,Medium,"Array, Binary Search, Sliding Window, Sorting",TRUE
Find the Sequence of Strings Appeared on the Screen,find-the-sequence-of-strings-appeared-on-the-screen,Medium,"String, Simulation",FALSE
Count Substrings With K-Frequency Characters I,count-substrings-with-k-frequency-characters-i,Medium,"Hash Table, String, Sliding Window",FALSE
Minimum Division Operations to Make Array Non Decreasing,minimum-division-operations-to-make-array-non-decreasing,Medium,"Array, Math, Greedy, Number Theory",FALSE
Check if DFS Strings Are Palindromes,check-if-dfs-strings-are-palindromes,Hard,"Array, Hash Table, String, Tree, Depth-First Search, Hash Function",FALSE
Count Substrings With K-Frequency Characters II,count-substrings-with-k-frequency-characters-ii,Hard,"Hash Table, String, Sliding Window",TRUE
Find the Original Typed String I,find-the-original-typed-string-i,Easy,String,FALSE
Find Subtree Sizes After Changes,find-subtree-sizes-after-changes,Medium,"Array, Hash Table, String, Tree, Depth-First Search",FALSE
Maximum Points Tourist Can Earn,maximum-points-tourist-can-earn,Medium,"Array, Dynamic Programming, Matrix",FALSE
Find the Original Typed String II,find-the-original-typed-string-ii,Hard,"String, Dynamic Programming, Prefix Sum",FALSE
Find the Maximum Factor Score of Array,find-the-maximum-factor-score-of-array,Medium,"Array, Math, Number Theory",FALSE
Total Characters in String After Transformations I,total-characters-in-string-after-transformations-i,Medium,"Hash Table, Math, String, Dynamic Programming, Counting",FALSE
Find the Number of Subsequences With Equal GCD,find-the-number-of-subsequences-with-equal-gcd,Hard,"Array, Math, Dynamic Programming, Number Theory",FALSE
Total Characters in String After Transformations II,total-characters-in-string-after-transformations-ii,Hard,"Hash Table, Math, String, Dynamic Programming, Counting",FALSE
Find the Number of K-Even Arrays,find-the-number-of-k-even-arrays,Medium,Dynamic Programming,TRUE
Check Balanced String,check-balanced-string,Easy,String,FALSE
Find Minimum Time to Reach Last Room I,find-minimum-time-to-reach-last-room-i,Medium,"Array, Graph, Heap (Priority Queue), Matrix, Shortest Path",FALSE
Find Minimum Time to Reach Last Room II,find-minimum-time-to-reach-last-room-ii,Medium,"Array, Graph, Heap (Priority Queue), Matrix, Shortest Path",FALSE
Count Number of Balanced Permutations,count-number-of-balanced-permutations,Hard,"Math, String, Dynamic Programming, Combinatorics",FALSE
Maximum Sized Array,maximum-sized-array,Medium,"Binary Search, Bit Manipulation",TRUE
Smallest Divisible Digit Product I,smallest-divisible-digit-product-i,Easy,"Math, Enumeration",FALSE
Maximum Frequency of an Element After Performing Operations I,maximum-frequency-of-an-element-after-performing-operations-i,Medium,"Array, Binary Search, Sliding Window, Sorting, Prefix Sum",FALSE
Maximum Frequency of an Element After Performing Operations II,maximum-frequency-of-an-element-after-performing-operations-ii,Hard,"Array, Binary Search, Sliding Window, Sorting, Prefix Sum",FALSE
Smallest Divisible Digit Product II,smallest-divisible-digit-product-ii,Hard,"Math, String, Backtracking, Greedy, Number Theory",FALSE
Adjacent Increasing Subarrays Detection I,adjacent-increasing-subarrays-detection-i,Easy,Array,FALSE
Adjacent Increasing Subarrays Detection II,adjacent-increasing-subarrays-detection-ii,Medium,"Array, Binary Search",FALSE
Sum of Good Subsequences,sum-of-good-subsequences,Hard,"Array, Hash Table, Dynamic Programming",FALSE
Count K-Reducible Numbers Less Than N,count-k-reducible-numbers-less-than-n,Hard,"Math, String, Dynamic Programming, Combinatorics",FALSE
Minimum Total Operations,minimum-total-operations,Easy,Array,TRUE
Make Array Elements Equal to Zero,make-array-elements-equal-to-zero,Easy,"Array, Simulation, Prefix Sum",FALSE
Zero Array Transformation I,zero-array-transformation-i,Medium,"Array, Prefix Sum",FALSE
Zero Array Transformation II,zero-array-transformation-ii,Medium,"Array, Binary Search, Prefix Sum",FALSE
Minimize the Maximum Adjacent Element Difference,minimize-the-maximum-adjacent-element-difference,Hard,"Array, Binary Search, Greedy",FALSE
Find Sorted Submatrices With Maximum Element at Most K,find-sorted-submatrices-with-maximum-element-at-most-k,Hard,"Array, Stack, Matrix, Monotonic Stack",TRUE
Stone Removal Game,stone-removal-game,Easy,"Math, Simulation",FALSE
Shift Distance Between Two Strings,shift-distance-between-two-strings,Medium,"Array, String, Prefix Sum",FALSE
Zero Array Transformation III,zero-array-transformation-iii,Medium,"Array, Greedy, Sorting, Heap (Priority Queue), Prefix Sum",FALSE
Find the Maximum Number of Fruits Collected,find-the-maximum-number-of-fruits-collected,Hard,"Array, Dynamic Programming, Matrix",FALSE
Minimum Positive Sum Subarray ,minimum-positive-sum-subarray,Easy,"Array, Sliding Window, Prefix Sum",FALSE
Rearrange K Substrings to Form Target String,rearrange-k-substrings-to-form-target-string,Medium,"Hash Table, String, Sorting",FALSE
Minimum Array Sum,minimum-array-sum,Medium,"Array, Dynamic Programming",FALSE
Maximize Sum of Weights after Edge Removals,maximize-sum-of-weights-after-edge-removals,Hard,"Dynamic Programming, Tree, Depth-First Search",FALSE
Design an Array Statistics Tracker ,design-an-array-statistics-tracker,Hard,"Hash Table, Binary Search, Design, Queue, Heap (Priority Queue), Data Stream, Ordered Set",TRUE
Smallest Number With All Set Bits,smallest-number-with-all-set-bits,Easy,"Math, Bit Manipulation",FALSE
Identify the Largest Outlier in an Array,identify-the-largest-outlier-in-an-array,Medium,"Array, Hash Table, Counting, Enumeration",FALSE
Maximize the Number of Target Nodes After Connecting Trees I,maximize-the-number-of-target-nodes-after-connecting-trees-i,Medium,"Tree, Depth-First Search, Breadth-First Search",FALSE
Maximize the Number of Target Nodes After Connecting Trees II,maximize-the-number-of-target-nodes-after-connecting-trees-ii,Hard,"Tree, Depth-First Search, Breadth-First Search",FALSE
Minimum Operations to Make Array Values Equal to K,minimum-operations-to-make-array-values-equal-to-k,Easy,"Array, Hash Table",FALSE
Minimum Time to Break Locks I,minimum-time-to-break-locks-i,Medium,"Array, Dynamic Programming, Backtracking, Bit Manipulation, Depth-First Search, Bitmask",FALSE
Digit Operations to Make Two Integers Equal,digit-operations-to-make-two-integers-equal,Medium,"Math, Graph, Heap (Priority Queue), Number Theory, Shortest Path",FALSE
Count Connected Components in LCM Graph,count-connected-components-in-lcm-graph,Hard,"Array, Hash Table, Math, Union Find, Number Theory",FALSE
Transformed Array,transformed-array,Easy,"Array, Simulation",FALSE
Maximum Area Rectangle With Point Constraints I,maximum-area-rectangle-with-point-constraints-i,Medium,"Array, Math, Binary Indexed Tree, Segment Tree, Geometry, Sorting, Enumeration",FALSE
Maximum Subarray Sum With Length Divisible by K,maximum-subarray-sum-with-length-divisible-by-k,Medium,"Array, Hash Table, Prefix Sum",FALSE
